,game_name,platform,main_genre,develeoper,publisher,max_players,online_game,release_year,release_month,rating,meta_score,user_score,critic_positive_normelize,user_positive_normelize,exclusive_game,publisher_labeled,develeoper_labeled,main_genres_labeled,platform_labeled
0,Tharsis,"Nintendo, PC, PlayStation",Miscellaneous,Choice Provisions,Choice Provisions,1,0,2016,1,4,0.5719696969696969,0.6071821712038891,0.23097826086956522,0.46419004990334356,0,266,551,6,9
1,WWI Tannenberg: Eastern Front,PlayStation,Action,M2H,Blackmill Games,40,1,2020,7,4,0.5681818181818182,0.8510638297872343,0.3,0.10260005501473957,1,177,1684,0,42
2,Dungeons 2,PlayStation,General,Kalypso,Kalypso,4,1,2016,5,3,0.5681818181818182,0.6702127659574468,0.1111111111111111,0.26792252613878303,1,772,1525,5,42
3,WE ARE DOOMED,PlayStation,Action,Vertex Pop,Vertex Pop,1,0,2015,4,1,0.5681818181818182,0.5957446808510639,0.2222222222222222,0.18523206306011736,1,1552,3188,0,42
4,Sixty Second Shooter Prime,Xbox,Action,Happion Laboratories,Happion Laboratories,1,0,2014,6,1,0.5681818181818182,0.723404255319149,0.0,0.1957103174439386,1,649,1260,0,48
5,Tom Clancy's Ghost Recon Advanced Warfighter 2,"PC, PlayStation, Xbox",Action,High Voltage Software,Ubisoft,2,1,2007,3,3,0.7471590909090909,0.7047872340425533,0.663433908045977,0.4921419667390864,0,1524,1305,0,38
6,Rayman 3D,Nintendo,Action,Ubisoft Casablanca,Ubisoft,1,0,2011,3,1,0.5681818181818182,0.6489361702127661,0.15384615384615385,0.3014262921994078,1,1524,3116,0,0
7,Arcade Classics Anniversary Collection,"Nintendo, PlayStation",Miscellaneous,Konami,Konami,1,0,2019,4,3,0.5795454545454546,0.4414893617021277,0.08846153846153847,0.4718384758843332,0,789,1565,6,15
8,The Lord of the Rings: War in the North,"PlayStation, Xbox",Role-Playing,Snowblind Studios,Warner Bros. Interactive Entertainment,3,0,2011,11,4,0.5795454545454546,0.7287234042553192,0.2859848484848485,0.5453676911945737,0,1579,2695,9,45
9,Harry Potter and the Order of the Phoenix,"Nintendo, PC, PlayStation, Xbox",Action Adventure,EA Games,EA Games,1,0,2007,6,2,0.5454545454545455,0.5680851063829788,0.19107796228539264,0.2867649606882537,0,419,864,1,12
10,MX vs. ATV Alive,"PlayStation, Xbox",Arcade,THQ Digital Studio Phoenix,THQ,12,1,2011,5,1,0.5795454545454546,0.696808510638298,0.17782189449801475,0.3277231040491579,0,1409,2888,3,45
11,Dynasty Warriors 5 Empires,Xbox,Action,Omega Force,Koei,2,0,2006,3,3,0.5681818181818182,0.8404255319148937,0.175,0.3000820191909718,1,787,2062,0,48
12,Friday the 13th: The Game,"PC, Xbox",Action Adventure,IllFonic,Gun Media,1,0,2017,5,4,0.5227272727272727,0.6489361702127661,0.08695652173913043,0.4925168136315211,0,631,1381,1,41
13,Lust from Beyond,PC,Adventure,Movie Games S.A.,Movie Games S.A.,1,0,2021,3,3,0.5681818181818182,0.6914893617021277,0.05555555555555555,0.280769070636923,1,928,1895,2,34
14,Sword Art Online: Fatal Bullet,"PC, PlayStation",Action,Dimps Corporation,Bandai Namco Games,8,1,2018,2,3,0.5852272727272727,0.7340425531914895,0.14285714285714285,0.5507531987323977,0,139,806,0,35
15,WRC 3: FIA World Rally Championship,"PC, PlayStation",Racing,Milestone S.r.l,Plug In Digital,1,0,2013,3,3,0.5795454545454546,0.696808510638298,0.175,0.41928974713510037,0,1121,1820,8,35
16,Shaun White Skateboarding,"PlayStation, Xbox",Sports,Ubisoft Montreal,Ubisoft,8,1,2010,10,3,0.5681818181818182,0.5957446808510639,0.1165158371040724,0.08452266310372047,0,1524,3121,13,45
17,The Lord of the Rings: Conquest,"Nintendo, PC, PlayStation, Xbox",General,Artificial Mind and Movement,Electronic Arts,1,0,2009,1,2,0.5198863636363636,0.7127659574468085,0.06834291187739464,0.37762158836388215,0,438,207,5,12
18,Dokapon Kingdom,PlayStation,General,Sting,Atlus Co.,4,1,2008,10,2,0.5681818181818182,0.723404255319149,0.375,0.1395792443707542,1,116,2781,5,42
19,Loki,PC,Role-Playing,Cyanide,DreamCatcher Interactive,6,1,2007,10,4,0.5681818181818182,0.5744680851063831,0.14285714285714285,0.25005025322039387,1,410,687,9,34
20,Medieval Moves: Deadmund's Quest,PlayStation,General,Zindagi Games,SCEA,2,1,2011,11,2,0.5681818181818182,0.7127659574468086,0.1951219512195122,0.24006561535277746,1,1230,3350,5,42
21,Ninety-Nine Nights,Xbox,Action,Phantagram,Microsoft Game Studios,1,0,2006,8,4,0.5681818181818182,0.6702127659574468,0.15151515151515152,0.38101436894608137,1,888,2168,0,48
22,Future Tactics: The Uprising,"Old Platform, PlayStation",Strategy,Zed Two Limited,Crave,2,0,2004,5,3,0.5795454545454546,0.6607732568058335,0.12526315789473683,0.3664941494017703,0,312,3343,14,28
23,The Sinking City,"Nintendo, PC, PlayStation",Action Adventure,Frogwares,Frogwares,1,0,2019,6,4,0.6174242424242424,0.7021276595744682,0.2556323109514599,0.5093892666449585,0,525,1057,1,9
