,game_name,platform,genres,develeoper,publisher,max_players,online_game,release_year,release_month,rating,meta_score,user_score,critic_positive_normelize,user_positive_normelize,exclusive_game,publisher_labeled,develeoper_labeled,genres_labeled,platform_labeled
0,The Legend of Zelda: Ocarina of Time,Nintendo,"Action Adventure, Fantasy",Nintendo,Nintendo,1,0,1998,11,1,1.0,0.9361702127659576,1.0,0.8939615129396151,1,1140,2247,383,0
1,Tony Hawk's Pro Skater 2,"Nintendo, Old Platform, PC, PlayStation","Alternative, Skateboarding, Sports",Neversoft Entertainment,Activision,2,0,2000,9,3,0.931818181818182,0.7659574468085107,0.9709090909090909,0.7177374326244038,0,62,2213,1096,3
2,Grand Theft Auto IV,"PC, PlayStation, Xbox","Action Adventure, Modern, Modern, Open-World",Rockstar North,Rockstar Games,1,0,2008,4,4,0.9583333333333334,0.7801418439716312,0.9833333333333334,0.6816034576458065,0,1417,2787,463,43
3,SoulCalibur,"Old Platform, Xbox","3D, Action, Fighting",Namco,Namco,2,0,1999,9,3,0.8806818181818182,0.8297872340425534,0.9473684210526316,0.7250615763546798,0,1109,2176,231,38
4,Super Mario Galaxy,Wii,"3D, 3D, Action, Platformer, Platformer",Nintendo,Nintendo,0,0,2007,11,1,0.9772727272727273,0.9361702127659576,1.0,0.9111928533893852,1,1140,2247,144,51
5,Super Mario Galaxy 2,Wii,"3D, 3D, Action, Platformer, Platformer",Nintendo EAD Tokyo,Nintendo,0,0,2010,5,1,0.9772727272727273,0.9361702127659576,1.0,0.9134713267729895,1,1140,2248,144,51
6,Red Dead Redemption 2,"PC, PlayStation, Xbox","Action Adventure, Open-World",Rockstar Games,Rockstar Games,32,1,2018,10,4,0.9621212121212123,0.8014184397163122,0.9966329966329966,0.7593832784631909,0,1417,2784,466,43
7,Grand Theft Auto V,"PC, PlayStation, Xbox","Action Adventure, Modern, Open-World",Rockstar North,Rockstar Games,30,1,2013,9,4,0.9204545454545455,0.6823708206686933,0.9181908533088207,0.6443892905892792,0,1417,2787,464,43
8,Disco Elysium: The Final Cut,"PC, PlayStation","General, Role-Playing, Western-Style",ZA/UM,ZA/UM,0,0,2021,3,4,0.9318181818181819,0.8297872340425534,0.9833333333333334,0.7766715381804896,0,1893,3763,1619,40
9,The Legend of Zelda: Breath of the Wild,"Nintendo, Wii","Action Adventure, Open-World",Nintendo,Nintendo,0,0,2017,3,2,0.9715909090909091,0.872340425531915,0.9862385321100917,0.816385365658901,0,1140,2247,466,23
10,Tony Hawk's Pro Skater 3,"Nintendo, Old Platform, PC, PlayStation, Xbox","Alternative, Skateboarding, Sports",Neversoft Entertainment,Activision,2,0,2001,10,3,0.9128787878787877,0.7677304964539008,0.9555918663761801,0.7141680838768139,0,62,2213,1096,5
11,Perfect Dark,"Nintendo, Xbox","Action, First-Person, Sci-Fi, Shooter",Rare Ltd.,Nintendo,0,0,2000,5,4,0.875,0.8829787234042555,0.8586956521739131,0.8176961211227975,0,1140,2657,848,25
12,Metroid Prime,Old Platform,"Action, First-Person, Sci-Fi, Shooter",Retro Studios,Nintendo,1,0,2002,11,3,0.9772727272727273,0.9148936170212768,1.0,0.8934368383909669,0,1140,2746,848,26
13,Grand Theft Auto III,"PC, PlayStation","Action Adventure, Modern",DMA Design,Rockstar Games,1,0,2001,10,4,0.9545454545454546,0.845744680851064,1.0,0.768569429442157,0,1417,798,461,40
14,Super Mario Odyssey,Nintendo,"3D, Action, Platformer",Nintendo,Nintendo,0,0,2017,10,2,0.9772727272727273,0.9148936170212768,1.0,0.8897211818560133,1,1140,2247,243,0
15,Halo: Combat Evolved,"PC, Xbox","Action, First-Person, Sci-Fi, Shooter",Bungie Software,Microsoft Game Studios,4,1,2001,11,4,0.8977272727272727,0.8404255319148937,0.9375,0.7742990910838345,0,1028,524,848,46
16,NFL 2K1,Old Platform,"Football, Sim, Sports, Traditional",Visual Concepts,Sega,0,0,2000,9,1,0.9772727272727273,0.6382978723404256,1.0,0.5714285714285714,0,1472,3619,1502,26
17,Half-Life 2,"PC, Xbox","Action, Arcade, First-Person, Sci-Fi, Sci-Fi, Shooter, Shooter",Valve Software,VU Games,0,0,2004,11,4,0.9318181818181818,0.9095744680851066,0.9857142857142858,0.8663505943923211,0,1790,3578,709,46
18,BioShock,"PC, PlayStation, Xbox","Action, Arcade, First-Person, Sci-Fi, Sci-Fi, Shooter, Shooter",Irrational Games,2K Games,0,0,2007,8,4,0.9583333333333334,0.9113475177304965,1.0,0.87531366726112,0,17,1637,709,43
19,GoldenEye 007,"Nintendo, Wii","Action, First-Person, Modern, Shooter",Rare Ltd.,Nintendo,4,1,1997,8,3,0.7878787878787877,0.8014184397163122,0.7673699015471168,0.698025797611801,0,1140,2657,842,23
20,Uncharted 2: Among Thieves,PlayStation,"Action Adventure, Linear, Modern, Modern",Naughty Dog,SCEA,0,0,2009,10,3,0.9659090909090908,0.9042553191489364,1.0,0.8877551020408163,1,1428,2186,458,47
21,Resident Evil 4,"Nintendo, Old Platform, PlayStation, Xbox","Action Adventure, Horror",Capcom,Capcom,1,0,2005,1,4,0.8636363636363636,0.9042553191489364,0.8181818181818181,0.8673818976148698,0,287,562,447,9
22,The Orange Box,"PC, PlayStation, Xbox","Action, Compilation, First-Person, Miscellaneous, Sci-Fi, Shooter",Valve Software,EA Games,16,1,2007,10,4,0.9393939393939394,0.897163120567376,0.9841269841269842,0.8663018944660988,0,497,3578,802,43
23,Batman: Arkham City,"PC, PlayStation, Xbox","Action Adventure, Fantasy, Fantasy, Open-World",Rocksteady Studios,Warner Bros. Interactive Entertainment,0,0,2011,10,3,0.9393939393939394,0.9007092198581562,1.0,0.8832697192032284,0,1831,2791,393,43
24,Portal Companion Collection,Nintendo,"Compilation, Miscellaneous",Valve Software,Valve Software,0,0,2022,6,3,0.9659090909090908,0.8297872340425533,1.0,0.8275862068965517,1,1794,3578,1390,0
25,Tekken 3,PlayStation,"3D, Action, Fighting",Namco,Namco,2,0,1998,4,3,0.9659090909090908,0.9361702127659576,1.0,0.9204819277108434,1,1109,2176,231,47
26,Elden Ring,"PC, PlayStation, Xbox","Action RPG, Role-Playing",From Software,Bandai Namco Games,4,1,2022,2,4,0.9583333333333334,0.7624113475177307,0.9833333333333334,0.7112523837436635,0,164,1202,516,43
27,Mass Effect 2,"PC, PlayStation, Xbox","Action RPG, Action RPG, Role-Playing",BioWare,Electronic Arts,0,0,2010,1,4,0.9507575757575757,0.9078014184397164,0.993939393939394,0.8794704559340084,0,515,385,483,43
28,The House in Fata Morgana - Dreams of the Revenants Edition -,Nintendo,"Adventure, Visual Novel",HuneX,Limited Run Games,0,0,2021,4,4,0.9659090909090908,0.8829787234042554,1.0,0.8436754176610979,1,945,1517,1066,0
29,The Legend of Zelda: Twilight Princess,"Old Platform, Wii","Action Adventure, Fantasy",Nintendo,Nintendo,1,0,2006,11,3,0.9602272727272727,0.920212765957447,1.0,0.8851030121522983,0,1140,2247,383,37
30,The Elder Scrolls V: Skyrim,"Nintendo, PC, PlayStation, Xbox","First-Person, First-Person, Role-Playing, Western-Style",Bethesda Game Studios,Bethesda Softworks,0,0,2011,11,4,0.9147727272727272,0.8191489361702129,0.980406746031746,0.774715553333438,0,181,358,1481,15
31,Half-Life,PC,"Action, Arcade, First-Person, Sci-Fi, Sci-Fi, Shooter, Shooter",Valve Software,Sierra Entertainment,0,1,1998,11,4,0.9659090909090908,0.9361702127659576,1.0,0.9026724449259661,1,1490,3578,709,39
32,The Legend of Zelda: The Wind Waker,Old Platform,"Action Adventure, Fantasy",Nintendo,Nintendo,1,0,2003,3,1,0.9659090909090908,0.9255319148936172,1.0,0.8880407124681934,0,1140,2247,383,26
33,Gran Turismo,PlayStation,"Driving, GT / Street, Racing",Polyphony Digital,SCEA,2,0,1998,4,1,0.9659090909090908,0.8829787234042554,1.0,0.8465608465608465,1,1428,2552,1426,47
34,Metal Gear Solid 2: Sons of Liberty,PlayStation,"Action Adventure, Modern",KCEJ,Konami,1,0,2001,11,4,0.9659090909090908,0.9042553191489364,1.0,0.8706849315068493,1,915,1702,461,47
35,Grand Theft Auto Double Pack,Xbox,"Compilation, Miscellaneous",Rockstar North,Rockstar Games,1,0,2003,10,4,0.9659090909090908,0.8297872340425533,1.0,0.7476635514018691,1,1417,2787,1390,53
36,Baldur's Gate II: Shadows of Amn,PC,"PC-style RPG, PC-style RPG, Role-Playing, Western-Style",BioWare,Interplay,6,1,2000,9,3,0.9545454545454546,0.9361702127659576,1.0,0.9165588615782665,1,848,385,1725,39
37,Grand Theft Auto: San Andreas,"PC, PlayStation, Xbox","Action Adventure, Modern",Rockstar North,Rockstar Games,2,0,2004,10,4,0.9393939393939394,0.9078014184397164,0.9816489361702128,0.8890130066982344,0,1417,2787,461,43
38,Grand Theft Auto: Vice City,"PC, PlayStation","Action Adventure, Modern",Rockstar North,Rockstar Games,1,0,2002,10,4,0.9488636363636364,0.8989361702127661,1.0,0.8722778224011936,0,1417,2787,461,40
39,LittleBigPlanet,PlayStation,"2D, 3D, 3D, Action, Platformer, Platformer",SCE/WWS,SCEA,4,1,2008,10,1,0.9545454545454546,0.6914893617021277,1.0,0.6555142503097894,1,1428,2827,53,47
40,The Legend of Zelda Collector's Edition,Old Platform,"Action Adventure, Fantasy",Nintendo,Nintendo,1,0,2003,11,1,0.9545454545454546,0.9148936170212768,1.0,0.8949771689497716,0,1140,2247,383,26
41,Red Dead Redemption,"PlayStation, Xbox","Action, Action Adventure, Historic, Historic, Historic, Open-World, Shooter, Third-Person",Rockstar San Diego,Rockstar Games,16,1,2010,5,4,0.9545454545454546,0.920212765957447,1.0,0.8944921459518285,0,1417,2788,583,50
42,Gran Turismo 3: A-Spec,PlayStation,"Driving, GT / Street, Racing",Polyphony Digital,SCEA,2,0,2001,7,1,0.9545454545454546,0.8617021276595747,0.9814814814814815,0.8167770419426048,1,1428,2552,1426,47
43,Halo 2,"PC, Xbox","Action, First-Person, Sci-Fi, Shooter",Bungie Software,Microsoft Game Studios,16,1,2004,11,4,0.8238636363636365,0.7606382978723405,0.707760989010989,0.6636842478377996,0,1028,524,848,46
44,Metroid Prime Remastered,Nintendo,"Action, Arcade, First-Person, Shooter",Nintendo,Nintendo,0,0,2023,2,3,0.9545454545454546,0.9361702127659576,1.0,0.8934782608695652,1,1140,2247,716,0
45,Persona 5 Royal,"Nintendo, PC, PlayStation, Xbox","Japanese-Style, Role-Playing",Atlus,Sega,0,0,2020,3,4,0.940909090909091,0.8446808510638298,0.9771830985915493,0.8083692854933607,0,1472,263,1667,15
46,The Legend of Zelda: A Link to the Past,Nintendo,"Action Adventure, Fantasy",Capcom,Nintendo,0,0,2002,12,1,0.9545454545454546,0.9255319148936172,0.9666666666666667,0.8933333333333333,1,1140,562,383,0
47,The Legend of Zelda: Majora's Mask,Nintendo,"Action Adventure, Fantasy",Nintendo,Nintendo,1,0,2000,10,1,0.9545454545454546,0.9361702127659576,1.0,0.9083820662768031,1,1140,2247,383,0
48,The Last of Us,PlayStation,"Action Adventure, Adventure, General, General, Modern, Modern",Naughty Dog,SCEA,8,1,2013,6,4,0.9545454545454546,0.946808510638298,0.9897959183673469,0.9111126951315133,1,1428,2186,344,47
49,Madden NFL 2003,"Old Platform, PC, PlayStation, Xbox","Football, Sim, Sports, Traditional",EA Sports,EA Sports,2,0,2002,8,1,0.9204545454545454,0.7393617021276596,0.9583333333333334,0.6747250497250497,0,498,987,1502,31
50,The Last of Us Remastered,PlayStation,"Action Adventure, General, Modern",Naughty Dog,SCEA,8,1,2014,7,4,0.9545454545454546,0.946808510638298,0.9857142857142858,0.9231216316178802,1,1428,2186,418,47
51,Portal 2,"PC, PlayStation, Xbox","Action, Arcade, First-Person, Sci-Fi, Sci-Fi, Shooter, Shooter",Valve Software,Valve Software,0,0,2011,4,2,0.9545454545454546,0.9113475177304967,0.9823663990330657,0.8928949014217071,0,1794,3578,709,43
52,Metal Gear Solid V: The Phantom Pain,"PC, PlayStation, Xbox","Action Adventure, Modern, Modern, Open-World",Kojima Productions,Konami,16,1,2015,9,4,0.931818181818182,0.8085106382978724,0.9922480620155039,0.7260985520937923,0,915,1761,463,43
53,Tetris Effect: Connected,"Nintendo, Xbox","Puzzle, Stacking",Monstars Inc.,Enhance Games,8,1,2020,11,1,0.9090909090909091,0.8031914893617023,1.0,0.7540889526542325,0,528,2110,1729,25
54,World of Goo,"Nintendo, PC, Wii","Action, General, General, Miscellaneous, Puzzle, Puzzle, Puzzle",2D Boy,2D Boy,4,1,2008,10,1,0.8901515151515151,0.847517730496454,0.9722222222222222,0.7849090880351288,0,16,30,871,16
55,BioShock Infinite,"PC, PlayStation, Xbox","Action, Arcade, First-Person, Sci-Fi, Sci-Fi, Shooter, Shooter",Irrational Games,2K Games,0,0,2013,3,4,0.9393939393939394,0.8758865248226951,0.9797979797979798,0.826943190772511,0,17,1637,709,43
56,Final Fantasy IX,"Nintendo, PC, PlayStation","Console-style RPG, Role-Playing",SquareSoft,Square EA,1,0,2000,11,3,0.837121212121212,0.8687943262411348,0.879585326953748,0.8258922737483546,0,1564,3113,1408,12
57,Call of Duty: Modern Warfare 2,"PlayStation, Xbox","Action, Arcade, First-Person, Modern, Modern, Shooter, Shooter",Infinity Ward,Activision,18,1,2009,11,4,0.9431818181818181,0.6755319148936171,1.0,0.5887502942448783,0,62,1589,696,50
