,game_name,platform,publisher,release_date,meta_scroe,user_score,develeoper,genres,num_of_players,rating,user_positive_review,user_negative_review,user_mixed_review,critic_positive_review,critic_negative_review,critic_mixed_review
0,Hitman: Sniper Challenge,Xbox 360,Square Enix,"May 15, 2012",80,7.7,Io Interactive,"Action Adventure, Modern, General, Modern",No Online Multiplayer,M,15,3,2,6,0,1
1,Sonic CD,PlayStation 3,Sega,"Dec 20, 2011",80,7.6,Sega,"Action, Platformer, Platformer, 2D, 2D",NaN,E,45,10,8,10,0,2
2,Microsoft Flight Simulator X,PC,Microsoft Game Studios,"Oct 17, 2006",80,7.3,Microsoft Game Studios,"Simulation, Flight, Modern Jet, Modern Jet, Combat, Civilian",32  Online,E,89,25,26,22,1,5
3,Metal Gear Acid 2,PSP,Konami,"Mar 21, 2006",80,8.2,Kojima Productions,"Strategy, Turn-Based, Modern, Modern, Card Battle",2,M,29,3,7,38,0,13
4,Myst V: End of Ages,PC,Ubisoft,"Sep 19, 2005",80,7.7,Cyan Worlds,"Adventure, 3D, First-Person, Fantasy, Fantasy",No Online Multiplayer,E,41,11,8,21,0,5
5,Star Ocean: Till the End of Time,PlayStation 2,Square Enix,"Aug 31, 2004",80,8.5,Tri-Ace,"Role-Playing, Action RPG",1-2,T,111,10,25,45,1,9
6,Railroad Tycoon 3,PC,Gathering,"Oct 23, 2003",80,7.6,PopTop Software,"Strategy, Tycoon, Management, Tycoon, Business / Tycoon",1-4,E,44,8,14,16,2,1
7,Otogi: Myth of Demons,Xbox,Sega,"Aug 27, 2003",80,8.4,From Software,"Action Adventure, Fantasy",1 Player,T,29,3,3,31,0,9
8,Sega Soccer Slam,Xbox,Sega,"Aug 22, 2002",80,8.3,Black Box,"Sports, Traditional, Soccer, Arcade",1-4,E,8,1,0,13,1,1
9,World of Outlaws: Sprint Cars 2002,PlayStation 2,Infogrames,"Mar 26, 2002",80,8.3,Ratbag,"Driving, Racing, Rally / Offroad",1-2,E,8,1,1,7,0,3
10,Wave Race: Blue Storm,GameCube,Nintendo,"Nov 17, 2001",80,8.0,Nintendo,"Driving, Racing, Snow / Water",NaN,E,26,2,8,15,0,6
11,Phantasy Star Online Ver. 2,Dreamcast,Sega,"Sep 24, 2001",80,8.6,Sonic Team,"Role-Playing, General",NaN,T,23,3,0,8,0,2
12,Hostile Waters: Antaeus Rising,PC,Interplay,"Jun 13, 2001",80,7.8,Rage Software,"Strategy, General, General",No Online Multiplayer,M,31,6,4,11,1,2
